Date,Time,HeatingStatus,CurrentTemperature,SetTemperature
03/05/2021,04:30:05,OFF,17.8,16.0
03/05/2021,04:45:05,OFF,17.7,16.0
03/05/2021,05:00:05,OFF,17.7,16.0
03/05/2021,05:15:05,OFF,17.6,16.0
03/05/2021,05:30:06,OFF,17.6,16.0
03/05/2021,05:45:05,OFF,17.5,16.0
03/05/2021,06:00:05,OFF,17.5,16.0
03/05/2021,06:15:05,ON,17.5,19.0
03/05/2021,06:30:05,ON,17.7,19.0
03/05/2021,06:45:06,ON,18.0,19.0
03/05/2021,07:00:06,ON,18.5,19.0
03/05/2021,07:15:05,ON,18.9,19.0
03/05/2021,07:30:05,OFF,19.1,19.0
03/05/2021,07:45:05,ON,18.9,19.0
03/05/2021,08:00:06,ON,18.9,19.0
03/05/2021,08:15:05,ON,18.9,19.0
03/05/2021,08:30:05,ON,18.9,19.0
03/05/2021,08:45:05,ON,18.9,19.0
03/05/2021,09:00:06,ON,18.9,19.0
03/05/2021,09:15:05,ON,18.9,19.0
03/05/2021,09:30:05,ON,18.9,19.0
03/05/2021,09:45:05,ON,18.9,19.0
03/05/2021,10:00:05,OFF,19.0,19.0
03/05/2021,10:15:05,OFF,19.0,18.0
03/05/2021,10:30:06,OFF,18.9,18.0
03/05/2021,10:45:05,OFF,18.7,18.0
03/05/2021,11:00:06,OFF,18.6,18.0
03/05/2021,11:15:05,OFF,18.5,18.0
03/05/2021,11:30:05,OFF,18.5,18.0
03/05/2021,11:45:05,OFF,18.5,18.0
03/05/2021,12:00:05,OFF,18.5,18.0
03/05/2021,12:15:05,OFF,18.4,18.0
03/05/2021,12:30:06,OFF,18.3,18.0
03/05/2021,12:45:05,OFF,18.3,18.0
